ECP,RC,MIN,MAX,MEAN,START,END,DURATION,CV,A1,A2,A3,A4,FP,FP_LG,FP_KNN,FP_SVM,VERDICT
90134BC1F1CE3781AEA1001923,1,-62.0,-62.0,-62.0,1581420884683436,1581420884683436,0,-0.0,0,1,0,0,0,0,0,0,0
3005FB63AC1F3681EC8813AD35,8,-59.0,-52.0,-54.375,1581414353580991,1581414355396387,1815396,-0.04816626859714245,8,0,0,0,0,0,0,0,0
3005FB63AC1F3681EC8812AB26,2,-57.5,-56.5,-57.0,1581420119060530,1581420119119948,59418,-0.008771929824561403,0,2,0,0,0,0,0,0,0
90134BC1F1CE3781AEA1000B35,4,-57.5,-55.5,-56.5,1581414353774018,1581414354449037,675019,-0.017699115044247787,0,4,0,0,0,0,0,0,0
E280689000000000183445E026,1,-66.5,-66.5,-66.5,1581420119499622,1581420119499622,0,-0.0,0,1,0,0,0,0,0,0,0
1532FB63AC1F3681EC88046821,2,-59.0,-58.5,-58.75,1581420973079923,1581420973118293,38370,-0.00425531914893617,0,0,2,0,0,0,0,0,0
2005FB63EAC13681E4EC0F4B35,10,-61.0,-51.5,-56.4,1581414351942686,1581414354425719,2483033,-0.05181432339078886,0,9,1,0,0,0,0,0,0
E2806890000000001834498A67,1,-68.0,-68.0,-68.0,1581427756198394,1581427756198394,0,-0.0,1,0,0,0,0,0,0,0,0
3005FB63AC1F3681EC88131635,3,-64.5,-57.5,-60.0,1581414353827910,1581414353968154,140244,-0.053142017971413866,0,1,2,0,0,0,0,0,0
3005FB63AC1F3681EC8812AB72,4,-61.0,-55.5,-57.125,1581427389038778,1581427389602878,564100,-0.03932647867748672,4,0,0,0,0,0,0,0,0
2005FB63EAC13681E5C602A170,5,-61.0,-51.5,-56.2,1581427432849840,1581427433795375,945535,-0.07108535357807183,3,0,2,0,0,0,0,0,0
2005FB63EAC13681E5C602E832,4,-58.5,-45.5,-51.5,1581414921984892,1581414922607443,622551,-0.10898031223613422,4,0,0,0,0,0,0,0,0
7336CEF1C1FE3682DEA1004635,6,-61.0,-54.0,-56.83333333333334,1581414354549824,1581414355627304,1077480,-0.04728596919823196,0,0,6,0,0,0,0,0,0
3005FB63AC1F3681EC88133868,2,-56.0,-54.0,-55.0,1581427698437783,1581427698584585,146802,-0.01818181818181818,0,2,0,0,0,0,0,0,0
3005FB63AC1F3681EC88142826,2,-56.5,-56.0,-56.25,1581420119182045,1581420119244499,62454,-0.004444444444444445,0,0,2,0,0,0,0,0,0
2005FB63EAC13681E4EC0FE927,6,-61.5,-57.5,-59.25,1581419572806369,1581419573699236,892867,-0.02612401634459453,0,4,2,0,0,0,0,0,0
7336CEF1C1FE3682DEA1005C6869,2,-53.5,-53.0,-53.25,1581427723355681,1581427723451948,96267,-0.004694835680751174,0,2,0,0,0,0,0,0,0
3005FB63AC1F3681EC88131668,3,-60.0,-51.0,-54.16666666666666,1581427698900400,1581427699357391,456991,-0.0762431488822392,0,3,0,0,0,0,0,0,0
3005FB63AC1F3681EC88116629,5,-58.5,-56.0,-57.2,1581419786931848,1581419787811759,879911,-0.01524090539699536,0,5,0,0,0,0,0,0,0
E2806890000000001834531770,52,-62.5,-58.5,-59.68269230769231,1581427428763308,1581427436976888,8213580,-0.01126722808758232,52,0,0,0,1,1,1,1,1
2005FB63EAC13681E5C602A175,6,-56.5,-53.0,-54.5,1581429875310957,1581429876283075,972118,-0.027522935779816515,0,6,0,0,0,0,0,0,0
3005FB63AC1F3681EC88145873,2,-63.5,-59.5,-61.5,1581426582213669,1581426582368782,155113,-0.032520325203252036,2,0,0,0,0,0,0,0,0
2005FB63EAC13681E4EC0F4B73,23,-61.0,-52.0,-56.06521739130435,1581426581339068,1581426584429308,3090240,-0.04786754358126705,8,3,12,0,0,0,0,0,0
3005FB63AC1F3681EC8805A528,2,-59.0,-58.0,-58.5,1581419885144313,1581419885214470,70157,-0.008547008547008548,0,2,0,0,0,0,0,0,0
1007CEA7AC1F3681EAC5106D35,10,-57.5,-53.0,-55.05,1581414354017999,1581414355287452,1269453,-0.02485727917057949,4,0,0,6,0,0,0,0,0
3005FB63AC1F3681EC8811B567,6,-60.0,-50.5,-55.83333333333334,1581427757536686,1581427758255343,718657,-0.0577285958382499,0,2,4,0,0,0,0,0,0
3005FB63AC1F3681EC8805A974,6,-56.5,-52.0,-54.0,1581426442610999,1581426443946849,1335850,-0.031626391252961725,4,2,0,0,0,0,0,0,0
E28068900000000018343B116869,2,-61.5,-61.5,-61.5,1581427723562143,1581427723644460,82317,-0.0,0,0,2,0,0,0,0,0,0
3025AB20CA1F3681CF10111574,1,-59.0,-59.0,-59.0,1581426441963118,1581426441963118,0,-0.0,1,0,0,0,0,0,0,0,0
3005FB63AC1F3681EC8805A930,3,-59.5,-54.0,-56.16666666666666,1581414772367734,1581414772934113,566379,-0.04258961452346387,3,0,0,0,0,0,0,0,0
3005FB63AC1F3681EC88155C27,9,-60.0,-53.0,-55.444444444444436,1581419571729033,1581419573288461,1559428,-0.0381288528866542,9,0,0,0,0,0,0,0,0
3005FB63AC1F3681EC8814B725,3,-60.0,-59.0,-59.66666666666666,1581420217673077,1581420218119161,446084,-0.007900634426665335,0,0,3,0,0,0,0,0,0
3005FB63AC1F3681EC8811B525,2,-58.5,-56.5,-57.5,1581420218265275,1581420218357251,91976,-0.017391304347826087,2,0,0,0,0,0,0,0,0
3005FB63AC1F3681EC8805A971,6,-59.0,-54.5,-56.75,1581427320565378,1581427322271521,1706143,-0.02998616425354205,4,0,2,0,0,0,0,0,0
3005FB63AC1F3681EC88144832,8,-60.0,-53.0,-55.875,1581414922312892,1581414923738395,1425503,-0.04332196136697334,0,0,0,8,0,0,0,0,0
3005FB63AC1F3681EC88144867,11,-63.0,-49.5,-56.22727272727273,1581427756937311,1581427758131862,1194551,-0.06571512185255159,0,6,5,0,0,0,0,0,0
3005FB63AC1F3681EC88132C35,3,-61.0,-56.5,-58.16666666666666,1581414353508815,1581414354098852,590037,-0.03462190823379534,0,0,0,3,0,0,0,0,0
3005FB63AC1F3681EC8815B974,8,-57.5,-52.5,-54.25,1581426441939617,1581426443316369,1376752,-0.03159287834286195,8,0,0,0,0,0,0,0,0
3005FB63AC1F3681EC88150127,4,-61.0,-56.0,-58.625,1581419573031098,1581419573652181,621083,-0.04062379292805469,0,0,4,0,0,0,0,0,0
3005FB63AC1F3681EC8811B575,5,-59.0,-55.5,-57.1,1581429875366950,1581429876288078,921128,-0.022427755647750784,0,5,0,0,0,0,0,0,0
2005FB63AC1F3681AB1004E367,11,-62.5,-50.5,-58.04545454545455,1581427756188454,1581427758182094,1993640,-0.07173677362943641,8,0,3,0,0,0,0,0,0
2005FB63EAC13681E4EC0F4C29,8,-58.0,-51.5,-54.5,1581419787582793,1581419789342056,1759263,-0.043031337246086515,8,0,0,0,0,0,0,0,0
2005FB63AC1F3681AB10052A29,5,-59.5,-56.5,-58.2,1581419788293214,1581419789124061,830847,-0.01850572098671651,0,4,1,0,0,0,0,0,0
E2806890000000001834329F6869,2,-63.0,-62.5,-62.75,1581427723548917,1581427723674634,125717,-0.00398406374501992,0,0,2,0,0,0,0,0,0
3005FB63AC1F3681EC8805AA77,3,-61.0,-60.0,-60.5,1581426776662914,1581426777091142,428228,-0.006747905627501868,0,3,0,0,0,0,0,0,0
7336CEF1C1FE3682DEA1004672,2,-61.5,-60.0,-60.75,1581427389086849,1581427389191655,104806,-0.012345679012345678,2,0,0,0,0,0,0,0,0
2005FB63EAC13681E5C6027B21,2,-60.5,-58.5,-59.5,1581420974237338,1581420974399960,162622,-0.01680672268907563,2,0,0,0,0,0,0,0,0
3005FB63AC1F3681EC8813AD27,4,-63.5,-56.0,-58.75,1581419573977520,1581419574280537,303017,-0.04833113485787467,0,2,2,0,0,0,0,0,0
3005FB63AC1F3681EC88131630,6,-60.0,-53.5,-56.83333333333334,1581414771494804,1581414772487691,992887,-0.038904689622937236,6,0,0,0,0,0,0,0,0
90134BC1F1CE3781AEA1000127,2,-55.0,-54.0,-54.5,1581419574124249,1581419574309714,185465,-0.009174311926605505,0,0,2,0,0,0,0,0,0
3005FB63AC1F3681EC8813AD70,5,-62.5,-54.0,-60.1,1581427430909504,1581427432884725,1975221,-0.05245884449395822,1,0,4,0,0,0,0,0,0
